zone_seg,rush_seg,eps,factor,revenue_multiplier
outer,0,-1.5,0.98,1.0101525445522108
outer,0,-1.5,1.0,1.0
outer,0,-1.5,1.02,0.9901475429766743
outer,0,-1.5,1.04,0.9805806756909201
outer,0,-1.5,1.06,0.9712858623572641
outer,0,-1.5,1.08,0.9622504486493763
outer,0,-1.5,1.1,0.9534625892455922
outer,0,-1.5,1.12,0.944911182523068
outer,0,-1.5,1.1400000000000001,0.936585811581694
outer,0,-1.5,1.16,0.9284766908852593
outer,0,-1.5,1.18,0.9205746178983234
outer,0,-1.5,1.2,0.9128709291752769
outer,0,-1.7,0.8,1.1690605597782766
outer,0,-1.7,0.8200000000000001,1.1490271836393955
outer,0,-1.7,0.8400000000000001,1.1298076206310037
outer,0,-1.7,0.86,1.1113505893107976
outer,0,-1.7,0.88,1.0936091355671782
outer,0,-1.7,0.9,1.0765401791080704
outer,0,-1.7,0.92,1.0601041163343339
outer,0,-1.7,0.9400000000000001,1.0442644715334706
outer,0,-1.7,0.96,1.0289875896271607
outer,0,-1.7,0.98,1.0142423647728374
outer,0,-1.7,1.0,1.0
outer,0,-1.7,1.02,0.9862337937918026
outer,0,-1.7,1.04,0.9729189501298082
outer,0,-1.7,1.06,0.9600324090271756
outer,0,-1.7,1.08,0.9475526950009329
outer,0,-1.7,1.1,0.9354597812919045
outer,0,-1.7,1.12,0.9237349679430141
outer,0,-1.7,1.1400000000000001,0.912360772102593
outer,0,-1.7,1.16,0.9013208291367497
outer,0,-1.7,1.18,0.8905998033201259
outer,0,-1.7,1.2,0.8801833070327152
outer,1,-1.3,0.8,1.069234599991188
outer,1,-1.3,0.8200000000000001,1.0613432062236365
outer,1,-1.3,0.8400000000000001,1.0536981418228557
outer,1,-1.3,0.86,1.0462861214619248
outer,1,-1.3,0.88,1.039094864340434
outer,1,-1.3,0.9,1.03211299742819
outer,1,-1.3,0.92,1.0253299699445066
outer,1,-1.3,0.9400000000000001,1.0187359775554183
outer,1,-1.3,0.96,1.0123218950037094
outer,1,-1.3,0.98,1.0060792160795313
outer,1,-1.3,1.0,1.0
outer,1,-1.3,1.02,0.9940768234004657
outer,1,-1.3,1.04,0.9883027372528531
outer,1,-1.3,1.06,0.982671228121414
outer,1,-1.3,1.08,0.9771761832464783
outer,1,-1.3,1.1,0.9718118590148481
outer,1,-1.3,1.12,0.9665728524333874
outer,1,-1.3,1.1400000000000001,0.961454075271774
outer,1,-1.3,1.16,0.9564507305826915
outer,1,-1.3,1.18,0.9515582913440479
outer,1,-1.3,1.2,0.946772480999074
outer,1,-1.5,0.8,1.118033988749895
outer,1,-1.5,0.8200000000000001,1.1043152607484654
outer,1,-1.5,0.8400000000000001,1.0910894511799618
outer,1,-1.5,0.86,1.0783277320343843
outer,1,-1.5,0.88,1.0660035817780522
outer,1,-1.5,0.9,1.0540925533894598
outer,1,-1.5,0.92,1.0425720702853738
outer,1,-1.5,0.9400000000000001,1.0314212462587933
outer,1,-1.5,0.96,1.0206207261596576
outer,1,-1.5,0.98,1.0101525445522108
outer,1,-1.5,1.0,1.0
outer,1,-1.5,1.02,0.9901475429766743
outer,1,-1.5,1.04,0.9805806756909201
outer,1,-1.5,1.06,0.9712858623572641
